Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GLUL","Glutamate-Ammonia Ligase","Protein Coding","P15104","61","GC01M182378","52.9563407897949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUL"
"FADD","Fas Associated Via Death Domain","Protein Coding","Q13158","59","GC11P070203","48.5682144165039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD"
"CPS1","Carbamoyl-Phosphate Synthase 1","Protein Coding","P31327","61","GC02P210477","47.0724449157715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","45.7756767272949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"MYBPC3","Myosin Binding Protein C3","Protein Coding","Q14896","59","GC11M132468","39.4846115112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBPC3"
"BID","BH3 Interacting Domain Death Agonist","Protein Coding","P55957","58","GC22M017734","38.1738929748535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BID"
"OTC","Ornithine Transcarbamylase","Protein Coding","P00480","59","GC0XP038345","35.8841209411621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC"
"HAL","Histidine Ammonia-Lyase","Protein Coding","P42357","55","GC12M095972","35.4668579101563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAL"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","34.6993865966797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"ASS1","Argininosuccinate Synthase 1","Protein Coding","P00966","62","GC09P130444","32.2405471801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASS1"
"BAD","BCL2 Associated Agonist Of Cell Death","Protein Coding","Q92934","57","GC11M132747","31.6750659942627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","31.0529918670654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"MYH7","Myosin Heavy Chain 7","Protein Coding","P12883","59","GC14M023412","30.6257019042969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","30.1425971984863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"ACADM","Acyl-CoA Dehydrogenase Medium Chain","Protein Coding","P11310","59","GC01P075724","29.1239814758301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM"
"ASL","Argininosuccinate Lyase","Protein Coding","P04424","56","GC07P066075","29.012731552124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASL"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","P19429","61","GC19M055151","28.4611206054688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"SLC25A13","Solute Carrier Family 25 Member 13","Protein Coding","Q9UJS0","58","GC07M096120","28.1684226989746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13"
